program_key,college,program,route,admission_cutoff_status,admission_seat_type,closing_rank_or_merit,closing_score,placement_status,placement_confidence,placement_score,salary_score,roi_score_fee_only,branch_score,internal_job_score_v3,data_quality_status,publish_default,why_not_ready,source_urls
PROG-V5-001,"COEP Technological University, Pune",Computer Engineering / Computer Science Engg.,MHT-CET CAP + AI/JEE seats,Verified official,AI-JEE,117,99.612571,Partial score-ready,82,91.8,88.2,55,100,79.6,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Data-for-2024-2025.pdf | https://www.coeptech.ac.in/wp-content/uploads/2025/08/Placement-Statistics-2024-25.pdf | https://www.coeptech.ac.in/wp-content/uploads/2025/04/Cutoff-Round-1-COEP-Tech.pdf
PROG-V5-002,VJTI Mumbai,B.Tech Computer Engineering,MHT-CET CAP + AI/JEE seats,Verified official,GOPEN,112,99.961,Partial score-ready,78,81.8,82.8,55,100,74.2,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://vjti.ac.in/wp-content/uploads/2025/06/UG-Placement-report-AY-2024-25.pdf
PROG-V5-003,SPIT Mumbai,COMP,MHT-CET CAP + Institute,no_verified_cutoff_row_yet,,,,Score-ready for pilot,96,82.4,93.3,55,82,83.3,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-004,SPIT Mumbai,CSE-AIML,MHT-CET CAP + Institute,Verified official,GOPENS,324,99.8607121,Score-ready for pilot,94,75.9,91.1,55,100,82.3,PILOT_SCORE_READY_VERIFIED,yes,Allowed for pilot only; still requires final user review before public release.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-005,SPIT Mumbai,CSE-DS,MHT-CET CAP + Institute,no_verified_cutoff_row_yet,,,,Score-ready for pilot,94,90.0,83.3,55,100,85.0,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://placements.spit.ac.in/assets/2025_summary-DqkohFsi.pdf
PROG-V5-006,"D. J. Sanghvi College of Engineering, Mumbai",Computer Engineering,MHT-CET CAP + ILS,staged_needs_human_verification,GOPENS,1605,99.4760923,Score-ready for pilot with warning,88,59.4,68.9,54.0,100,66.1,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf | https://fe2025.mahacet.org/CAP-I/CAPR-I_03199.pdf
PROG-V5-007,"D. J. Sanghvi College of Engineering, Mumbai",Information Technology,MHT-CET CAP + ILS,staged_needs_human_verification,GOPENS,2436,99.2447552,Score-ready for pilot with warning,88,63.7,68.9,54.0,92,72.1,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf
PROG-V5-008,"D. J. Sanghvi College of Engineering, Mumbai",CSE - Data Science,MHT-CET CAP + ILS,no_verified_cutoff_row_yet,,,,Score-ready for pilot with warning,86,66.4,68.9,54.0,100,73.3,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.djsce.ac.in/docs/placements/placement%2024-25%20report%20-%2004-08-25.pdf | https://www.djsce.ac.in/docs/ILS%20FE%20Admissions%202025-26%20Fees%20Notice.pdf
PROG-V5-009,"Walchand College of Engineering, Sangli",Computer Science and Engineering,MHT-CET CAP,no_verified_cutoff_row_yet,,,,Partial score-ready,78,55,66.7,55,100,62.4,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://walchandsangli.ac.in/wp-content/uploads/Student-Placement.pdf | https://walchandsangli.ac.in/student-careers/career-development-cell/placement-in-wce/
PROG-V5-010,PCCOE Pune,Computer Engineering,MHT-CET CAP,no_verified_cutoff_row_yet,,,,Partial score-ready,74,55,33.3,55,100,55.0,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://computer.pccoepune.com/placements | https://www.pccoepune.com/top-placement-engineering-college-in-pune.php
PROG-V5-011,VIT Pune,Computer Engineering,MHT-CET CAP,no_verified_cutoff_row_yet,,,,Partial/provisional,70,42.2,58.1,55,100,50.8,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.vit.edu/computer/placements/ | https://www.vit.edu/placement/
PROG-V5-012,VIT Pune,AI & DS,MHT-CET CAP,no_verified_cutoff_row_yet,,,,Partial/provisional,68,63.1,36.4,55,82,51.0,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://www.vit.edu/AIDSC/placements/
PROG-V5-013,IIIT Nagpur,B.Tech CSE / overall,JoSAA/CSAB,no_verified_cutoff_row_yet,,,,Partial score-ready,76,62.5,80.0,55,100,72.4,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://iiitn.ac.in/media/916fc986a2a34669ab3760b1e1c6a36a.pdf | https://www.iiitn.ac.in/placements/statistics
PROG-V5-014,IIIT Pune,B.Tech CSE,JoSAA/CSAB,no_verified_cutoff_row_yet,,,,Provisional only,55,45,87.1,55,100,45.4,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://placements.iiitp.ac.in/Placement.html | https://www.shiksha.com/college/iiit-pune-indian-institute-of-information-technology-kondhwa-53859/placement
PROG-V5-015,PICT Pune,Computer/IT/AI-DS,MHT-CET CAP,no_verified_cutoff_row_yet,,,,Not score-ready,40,72.8,47.6,55,92,40,PARTIAL_NOT_PUBLIC,no,Needs verified cutoff row and/or missing placement denominator/median/fee fields before public scoring.,https://fe2025.mahacet.org/CAP-I/CAPR-I_06271.pdf | https://www.kollegeapply.com/college/pune-institute-of-computer-technology-society-for-computer-technology-and-research-pune-placement
